Temps	V1	Temps	V2	Fréquence	S_Amplitude
0.001615	-0.0287851877510548	0.001615	0.507298639044166		
0.00162	-0.0842848094180226	0.00162	0.474128436297178		
0.001625	-0.1231345445849	0.001625	0.446486600674689		
0.00163	-0.150884355418384	0.00163	0.413316397927701		
0.001635	-0.156434317585081	0.001635	0.385674562305212		
0.00164	-0.139784431084991	0.00164	0.352504359558225		
0.001645	-0.117584582418203	0.001645	0.319334156811237		
0.00165	-0.0842848094180226	0.00165	0.291692321188748		
0.001655	-0.0565349985845387	0.001655	0.258522118441761		
0.00166	-0.0176852634176612	0.00166	0.230880282819271		
0.001665	-0.00103537691757083	0.001665	0.197710080072284		
0.00167	0.0211644717492163	0.00167	0.170068244449794		
0.001675	0.0322643960826099	0.001675	0.136898041702807		
0.00168	0.0378143582493067	0.00168	0.10372783895582		
0.001685	0.0267144339159131	0.001685	0.0760860033333302		
0.00169	0.0100645474158227	0.00169	0.0484441677108407		
