Fréquence	S_Amplitude	Temps	V1
		0.002465	-0.474936820566654
		0.00247	-0.563422597944736
		0.002475	-0.640847653150558
		0.00248	-0.69062090292573
		0.002485	-0.729333430528641
		0.00249	-0.756985235959291
		0.002495	-0.756985235959291
		0.0025	-0.729333430528641
		0.002505	-0.69062090292573
		0.00251	-0.635317292064428
		0.002515	-0.563422597944736
		0.00252	-0.485997542738914
		0.002525	-0.386451043188572
		0.00253	-0.281374182552099
		0.002535	-0.170766960829496
		0.00254	-0.0490990169346333
		0.002545	0.0670385658740997
		0.00255	0.183176148682833
		0.002555	0.288253009319305
		0.00256	0.393329869955778
		0.002565	0.48181564733386
		0.00257	0.564771063625813
		0.002575	0.625605035573244
		0.00258	0.669847924262285
		0.002585	0.708560451865196
		0.00259	0.730681896209717
		0.002595	0.725151535123587
		0.0026	0.697499729692936
		0.002605	0.664317563176155
		0.00261	0.603483591228724
		0.002615	0.537119258195162
		0.00262	0.45416384190321
		0.002625	0.360147703438997
		0.00263	0.260601203888655
		0.002635	0.161054704338312
		0.00264	0.0504474826157093
		0.002645	-0.0546293780207634
		0.00265	-0.159706238657236
		0.002655	-0.259252738207579
		0.00266	-0.347738515585661
		0.002665	-0.430693931877613
		0.00267	-0.497058264911175
		0.002675	-0.552361875772476
		0.00268	-0.596604764461517
		0.002685	-0.618726208806038
		0.00269	-0.635317292064428
		0.002695	-0.629786930978298
		0.0027	-0.602135125547647
