
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      0.4
-1.86084 -0.35670 0.40000 
-1.86528 -0.34919 0.40000 
-1.86958 -0.34168 0.40000 
-1.87374 -0.33417 0.40000 
-1.87778 -0.32666 0.40000 
-1.88170 -0.31915 0.40000 
-1.88550 -0.31164 0.40000 
-1.88917 -0.30413 0.40000 
-1.89273 -0.29662 0.40000 
-1.89617 -0.28911 0.40000 
-1.89950 -0.28160 0.40000 
-1.90272 -0.27409 0.40000 
-1.90582 -0.26658 0.40000 
-1.90883 -0.25907 0.40000 
-1.90909 -0.25839 0.40000 
-1.91187 -0.25156 0.40000 
-1.91483 -0.24406 0.40000 
-1.91768 -0.23655 0.40000 
-1.92042 -0.22904 0.40000 
-1.92306 -0.22153 0.40000 
-1.92560 -0.21402 0.40000 
-1.92804 -0.20651 0.40000 
-1.93039 -0.19900 0.40000 
-1.93263 -0.19149 0.40000 
-1.93478 -0.18398 0.40000 
-1.93683 -0.17647 0.40000 
-1.93879 -0.16896 0.40000 


# Contour 1, label:      0.3
-0.21390 -0.59700 0.30000 
-0.22386 -0.60451 0.30000 
-0.23348 -0.61202 0.30000 
-0.24284 -0.61952 0.30000 
-0.25199 -0.62703 0.30000 
-0.26097 -0.63454 0.30000 
-0.26983 -0.64205 0.30000 
-0.27273 -0.64456 0.30000 
-0.27990 -0.64956 0.30000 
-0.29034 -0.65707 0.30000 
-0.30050 -0.66458 0.30000 
-0.31043 -0.67209 0.30000 
-0.32018 -0.67960 0.30000 
-0.32976 -0.68711 0.30000 
-0.33333 -0.68996 0.30000 
-0.34049 -0.69462 0.30000 
-0.35171 -0.70213 0.30000 
-0.36264 -0.70964 0.30000 
-0.37334 -0.71715 0.30000 
-0.38383 -0.72466 0.30000 
-0.39394 -0.73201 0.30000 
-0.39419 -0.73217 0.30000 
-0.40648 -0.73967 0.30000 
-0.41844 -0.74718 0.30000 
-0.43012 -0.75469 0.30000 
-0.44156 -0.76220 0.30000 
-0.45278 -0.76971 0.30000 
-0.45455 -0.77092 0.30000 
-0.46575 -0.77722 0.30000 
-0.47874 -0.78473 0.30000 
-0.49142 -0.79224 0.30000 
-0.50381 -0.79975 0.30000 
-0.51515 -0.80677 0.30000 
-0.51612 -0.80726 0.30000 
-0.53051 -0.81477 0.30000 
-0.54452 -0.82228 0.30000 
-0.55817 -0.82979 0.30000 
-0.57151 -0.83730 0.30000 
-0.57576 -0.83974 0.30000 
-0.58645 -0.84481 0.30000 
-0.60185 -0.85232 0.30000 
-0.61683 -0.85982 0.30000 
-0.63143 -0.86733 0.30000 
-0.63636 -0.86993 0.30000 
