
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        2
0.26710 0.07519 1.00000 
0.19692 0.04511 1.00000 
0.18182 0.04147 1.00000 
0.17644 0.01504 1.00000 
0.17644 -0.01504 1.00000 
0.18182 -0.04147 1.00000 
0.19692 -0.04511 1.00000 
0.26710 -0.07519 1.00000 
0.29295 -0.10526 1.00000 
0.30303 -0.12210 1.00000 
0.33037 -0.13534 1.00000 
0.37250 -0.16541 1.00000 
0.40042 -0.19549 1.00000 
0.42159 -0.22556 1.00000 
0.42424 -0.22996 1.00000 
0.45635 -0.25564 1.00000 
0.48536 -0.28571 1.00000 
0.50863 -0.31579 1.00000 
0.52818 -0.34586 1.00000 
0.54524 -0.37594 1.00000 
0.54545 -0.37636 1.00000 
0.56997 -0.40602 1.00000 
0.59104 -0.43609 1.00000 
0.60927 -0.46617 1.00000 
0.62534 -0.49624 1.00000 
0.63971 -0.52632 1.00000 
0.65273 -0.55639 1.00000 
0.66463 -0.58647 1.00000 
0.66667 -0.59216 1.00000 
0.67874 -0.61654 1.00000 
0.69193 -0.64662 1.00000 
0.70366 -0.67669 1.00000 
0.71414 -0.70677 1.00000 
0.72350 -0.73684 1.00000 
0.73187 -0.76692 1.00000 
0.73933 -0.79699 1.00000 
0.74595 -0.82707 1.00000 
0.75176 -0.85714 1.00000 
0.75681 -0.88722 1.00000 
0.76113 -0.91729 1.00000 
0.76471 -0.94737 1.00000 
0.76758 -0.97744 1.00000 
0.76973 -1.00752 1.00000 
0.77115 -1.03759 1.00000 
0.77185 -1.06767 1.00000 
0.77180 -1.09774 1.00000 
0.77099 -1.12782 1.00000 
0.76941 -1.15789 1.00000 
0.76703 -1.18797 1.00000 
0.76384 -1.21805 1.00000 
0.75980 -1.24812 1.00000 
0.75489 -1.27820 1.00000 
0.74909 -1.30827 1.00000 
0.74238 -1.33835 1.00000 
0.73471 -1.36842 1.00000 
0.72606 -1.39850 1.00000 
0.71640 -1.42857 1.00000 
0.70571 -1.45865 1.00000 
0.69394 -1.48872 1.00000 
0.68107 -1.51880 1.00000 
0.66707 -1.54887 1.00000 
0.66667 -1.54971 1.00000 
0.65120 -1.57895 1.00000 
0.63391 -1.60902 1.00000 
0.61517 -1.63910 1.00000 
0.59496 -1.66917 1.00000 
0.57321 -1.69925 1.00000 
0.54990 -1.72932 1.00000 
0.54545 -1.73487 1.00000 

-0.65273 0.55639 1.00000 
-0.66463 0.58647 1.00000 
-0.66667 0.59216 1.00000 
-0.67874 0.61654 1.00000 
-0.69193 0.64662 1.00000 
-0.70366 0.67669 1.00000 
-0.71414 0.70677 1.00000 
-0.72350 0.73684 1.00000 
-0.73187 0.76692 1.00000 
-0.73933 0.79699 1.00000 
-0.74595 0.82707 1.00000 
-0.75176 0.85714 1.00000 
-0.75681 0.88722 1.00000 
-0.76113 0.91729 1.00000 
-0.76471 0.94737 1.00000 
-0.76758 0.97744 1.00000 
-0.76973 1.00752 1.00000 
-0.77115 1.03759 1.00000 
-0.77185 1.06767 1.00000 
-0.77180 1.09774 1.00000 
-0.77099 1.12782 1.00000 
-0.76941 1.15789 1.00000 
-0.76703 1.18797 1.00000 
-0.76384 1.21805 1.00000 
-0.75980 1.24812 1.00000 
-0.75489 1.27820 1.00000 
-0.74909 1.30827 1.00000 
-0.74238 1.33835 1.00000 
-0.73471 1.36842 1.00000 
-0.72606 1.39850 1.00000 
-0.71640 1.42857 1.00000 
-0.70571 1.45865 1.00000 
-0.69394 1.48872 1.00000 
-0.68107 1.51880 1.00000 
-0.66707 1.54887 1.00000 
-0.66667 1.54971 1.00000 
-0.65120 1.57895 1.00000 
-0.63391 1.60902 1.00000 
-0.61517 1.63910 1.00000 
-0.59496 1.66917 1.00000 
-0.57321 1.69925 1.00000 
-0.54990 1.72932 1.00000 
-0.54545 1.73487 1.00000 
-0.52220 1.75940 1.00000 
