
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     1.98
0.28720 -1.67669 1.00000 
0.27273 -1.68267 1.00000 
0.24510 -1.69173 1.00000 
0.21212 -1.70245 1.00000 
0.19426 -1.70677 1.00000 
0.15152 -1.71706 1.00000 
0.12162 -1.72180 1.00000 
0.09091 -1.72669 1.00000 
0.03030 -1.73147 1.00000 
-0.03030 -1.73147 1.00000 
-0.09091 -1.72669 1.00000 

1.00000 -0.00752 1.00000 
1.00000 -0.02256 1.00000 
0.99999 -0.03759 1.00000 
0.99997 -0.05263 1.00000 
0.99995 -0.06767 1.00000 
0.99991 -0.08271 1.00000 
0.99986 -0.09774 1.00000 
0.99980 -0.11278 1.00000 
0.99971 -0.12782 1.00000 
0.99961 -0.14286 1.00000 
0.99948 -0.15789 1.00000 
0.99932 -0.17293 1.00000 
0.99913 -0.18797 1.00000 
0.99892 -0.20301 1.00000 
0.99867 -0.21805 1.00000 
0.99838 -0.23308 1.00000 
0.99805 -0.24812 1.00000 
0.99769 -0.26316 1.00000 
0.99728 -0.27820 1.00000 
0.99682 -0.29323 1.00000 
0.99632 -0.30827 1.00000 
0.99577 -0.32331 1.00000 
0.99516 -0.33835 1.00000 
0.99450 -0.35338 1.00000 
0.99378 -0.36842 1.00000 
0.99301 -0.38346 1.00000 
0.99217 -0.39850 1.00000 
0.99127 -0.41353 1.00000 
0.99030 -0.42857 1.00000 
0.98926 -0.44361 1.00000 
0.98816 -0.45865 1.00000 
0.98698 -0.47368 1.00000 
0.98572 -0.48872 1.00000 
0.98439 -0.50376 1.00000 
0.98298 -0.51880 1.00000 
0.98149 -0.53383 1.00000 
0.97992 -0.54887 1.00000 
0.97826 -0.56391 1.00000 
0.97651 -0.57895 1.00000 
0.97468 -0.59398 1.00000 
0.97275 -0.60902 1.00000 
0.97073 -0.62406 1.00000 
0.96861 -0.63910 1.00000 
0.96639 -0.65414 1.00000 
0.96408 -0.66917 1.00000 
0.96166 -0.68421 1.00000 
0.95914 -0.69925 1.00000 
0.95651 -0.71429 1.00000 
0.95377 -0.72932 1.00000 
0.95092 -0.74436 1.00000 
0.94796 -0.75940 1.00000 
0.94488 -0.77444 1.00000 
0.94168 -0.78947 1.00000 
0.93939 -0.79993 1.00000 
0.93835 -0.80451 1.00000 
0.93483 -0.81955 1.00000 
0.93119 -0.83459 1.00000 
0.92743 -0.84962 1.00000 
0.92354 -0.86466 1.00000 
0.91951 -0.87970 1.00000 
0.91535 -0.89474 1.00000 
0.91105 -0.90977 1.00000 
0.90662 -0.92481 1.00000 
0.90204 -0.93985 1.00000 
0.89732 -0.95489 1.00000 
0.89245 -0.96992 1.00000 
0.88743 -0.98496 1.00000 
0.88226 -1.00000 1.00000 
0.87879 -1.00986 1.00000 
0.87687 -1.01504 1.00000 
0.87121 -1.03008 1.00000 
0.86538 -1.04511 1.00000 
0.85939 -1.06015 1.00000 
0.85323 -1.07519 1.00000 
0.84690 -1.09023 1.00000 
0.84040 -1.10526 1.00000 
0.83372 -1.12030 1.00000 
0.82686 -1.13534 1.00000 
0.81981 -1.15038 1.00000 
0.81818 -1.15381 1.00000 
0.81234 -1.16541 1.00000 
0.80460 -1.18045 1.00000 
0.79667 -1.19549 1.00000 
0.78854 -1.21053 1.00000 
0.78020 -1.22556 1.00000 
0.77165 -1.24060 1.00000 
0.76289 -1.25564 1.00000 
0.75758 -1.26460 1.00000 
0.75372 -1.27068 1.00000 
0.74404 -1.28571 1.00000 
0.73413 -1.30075 1.00000 
0.72398 -1.31579 1.00000 
0.71359 -1.33083 1.00000 
0.70296 -1.34586 1.00000 
0.69697 -1.35421 1.00000 
0.69177 -1.36090 1.00000 
0.67994 -1.37594 1.00000 
0.66783 -1.39098 1.00000 
0.65545 -1.40602 1.00000 

0.66783 1.39098 1.00000 
0.67994 1.37594 1.00000 
0.69177 1.36090 1.00000 
0.69697 1.35421 1.00000 
0.70296 1.34586 1.00000 
0.71359 1.33083 1.00000 
0.72398 1.31579 1.00000 
0.73413 1.30075 1.00000 
0.74404 1.28571 1.00000 
0.75372 1.27068 1.00000 
0.75758 1.26460 1.00000 
0.76289 1.25564 1.00000 
0.77165 1.24060 1.00000 
0.78020 1.22556 1.00000 
0.78854 1.21053 1.00000 
0.79667 1.19549 1.00000 
0.80460 1.18045 1.00000 
0.81234 1.16541 1.00000 
0.81818 1.15381 1.00000 
0.81981 1.15038 1.00000 
0.82686 1.13534 1.00000 
0.83372 1.12030 1.00000 
0.84040 1.10526 1.00000 
0.84690 1.09023 1.00000 
0.85323 1.07519 1.00000 
0.85939 1.06015 1.00000 
0.86538 1.04511 1.00000 
0.87121 1.03008 1.00000 
0.87687 1.01504 1.00000 
0.87879 1.00986 1.00000 
0.88226 1.00000 1.00000 
0.88743 0.98496 1.00000 
0.89245 0.96992 1.00000 
0.89732 0.95489 1.00000 
0.90204 0.93985 1.00000 
0.90662 0.92481 1.00000 
